MVP - 1.5X Points,AnyFLEX,AnyFLEX,AnyFLEX,AnyFLEX,,Instructions,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-94453,65214-69531,65214-52922,,1) Create a lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-25290,65214-69531,65214-6767,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-25290,65214-69531,65214-90912,,3) Any information to the right of the last position column will be ignored in the upload,,,,,,,,,,,,,,,,,
65214-69531,65214-11612,65214-94453,65214-52922,65214-6498,,4) Maximum of 250 lineups per upload,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-41235,65214-69531,65214-90912,,,,,,,,,,,,,,,,,,,
65214-6498,65214-11612,65214-69531,65214-73687,65214-6767,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
,,,,,,65214-130268:Josh Pearson,65214-130268,WR,Josh,Josh Pearson,Pearson,,,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-66402:Jack Driscoll,65214-66402,TE,Jack,Jack Driscoll,Driscoll,0,1,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-64357:Michael Walker,65214-64357,WR,Michael,Michael Walker,Walker,0,2,5000,TB@PHI,PHI,TB,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-72676:Troymaine Pope,65214-72676,RB,Troymaine,Troymaine Pope,Pope,3.95000004768372,4,5000,TB@PHI,TB,PHI,Q,Undisclosed,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-61798:Gardner Minshew II,65214-61798,QB,Gardner,Gardner Minshew II,Minshew II,18.3511115180122,9,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-62566:Travis Jonsen,65214-62566,QB,Travis,Travis Jonsen,Jonsen,,,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-63078:Ke'Shawn Vaughn,65214-63078,RB,Ke'Shawn,Ke'Shawn Vaughn,Vaughn,2.98571423121861,7,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-14194:Blaine Gabbert,65214-14194,QB,Blaine,Blaine Gabbert,Gabbert,0.620000004768372,2,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-94453:Darwin Thompson,65214-94453,RB,Darwin,Darwin Thompson,Thompson,5.94000015258789,5,5000,TB@PHI,TB,PHI,,,,,,MVP - 1.5X Points/AnyFLEX
,,,,,,65214-57208:KeeSean Johnson,65214-57208,WR,KeeSean,KeeSean Johnson,Johnson,2.47999992370605,10,5000,TB@PHI,PHI,TB,,,,,,MVP - 1.5X Points/AnyFLEX
