,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position,binned
642,75598-21165,C,Roberto,Roberto Perez,Perez,6.427777608235677,18.0,2400,PIT@DET,PIT,DET,O,Postponed,,,,C/1B/UTIL,
643,75598-53993,OF,Harold,Harold Ramirez,Ramirez,6.428571428571429,14.0,2400,TB@OAK,TB,OAK,,,,,,OF/UTIL,
644,75598-68537,2B/SS,Tyler,Tyler Wade,Wade,5.884999847412109,20.0,2400,LAA@BOS,LAA,BOS,,,,,0.0,2B/SS/UTIL,
646,75598-54401,OF,Manuel,Manuel Margot,Margot,7.461111280653212,18.0,2400,TB@OAK,TB,OAK,,,,,,OF/UTIL,
647,75598-60636,OF,Derek,Derek Hill,Hill,6.819999694824219,5.0,2400,PIT@DET,DET,PIT,O,Postponed,,,,OF/UTIL,
648,75598-5359,SS,Elvis,Elvis Andrus,Andrus,6.431818181818182,22.0,2400,TB@OAK,OAK,TB,,,,,,SS/UTIL,
649,75598-5488,1B,Joey,Joey Votto,Votto,4.604545593261719,22.0,2400,CIN@MIL,CIN,MIL,IL,Undisclosed,,,0.0,C/1B/UTIL,
650,75598-79218,2B/SS,Kevin,Kevin Newman,Newman,8.057143075125557,14.0,2400,PIT@DET,PIT,DET,O,Postponed,,,,2B/SS/UTIL,
651,75598-79277,1B,Rowdy,Rowdy Tellez,Tellez,8.972726995294744,22.0,2400,CIN@MIL,MIL,CIN,,,,,5.0,C/1B/UTIL,
652,75598-101841,OF,Edward,Edward Olivares,Olivares,5.358333587646484,12.0,2400,STL@KC,KC,STL,,,,,1.0,OF/UTIL,
653,75598-79400,OF,Dylan,Dylan Carlson,Carlson,5.876190548851376,21.0,2400,STL@KC,STL,KC,,,,,9.0,OF/UTIL,
654,75598-118408,3B/OF,Yoshi,Yoshi Tsutsugo,Tsutsugo,6.261110941569011,18.0,2400,PIT@DET,PIT,DET,O,Postponed,,,,3B/OF/UTIL,
655,75598-14000,OF,Darin,Darin Ruf,Ruf,6.2909088134765625,22.0,2400,SF@LAD,SF,LAD,,,,,,OF/UTIL,
656,75598-116450,1B/OF,Seth,Seth Brown,Brown,7.449999722567472,22.0,2400,TB@OAK,OAK,TB,,,,,,C/1B/OF/UTIL,
657,75598-102320,OF,Luis,Luis Gonzalez,Gonzalez,9.5,9.0,2400,SF@LAD,SF,LAD,,,,,,OF/UTIL,
658,75598-102362,OF,Trevor,Trevor Larnach,Larnach,7.450000339084202,18.0,2400,MIN@BAL,MIN,BAL,,,,,0.0,OF/UTIL,
659,75598-16950,1B,Miguel,Miguel Sano,Sano,4.335293938131893,17.0,2300,MIN@BAL,MIN,BAL,IL,Knee,,,0.0,C/1B/UTIL,
660,75598-21074,OF,Michael A.,Michael A. Taylor,Taylor,6.715789393374794,19.0,2300,STL@KC,KC,STL,,,,,8.0,OF/UTIL,
662,75598-119444,C,Alejandro,Alejandro Kirk,Kirk,3.771428426106771,21.0,2300,NYY@TOR,TOR,NYY,,,,,8.0,C/1B/UTIL,
663,75598-82605,1B/2B,Keston,Keston Hiura,Hiura,5.984615619365986,13.0,2300,CIN@MIL,MIL,CIN,,,,,0.0,C/1B/2B/UTIL,
664,75598-68593,2B/SS,Jorge,Jorge Mateo,Mateo,7.259090770374645,22.0,2300,MIN@BAL,BAL,MIN,,,,,9.0,2B/SS/UTIL,
665,75598-13304,C,Tucker,Tucker Barnhart,Barnhart,4.873333231608073,15.0,2300,PIT@DET,DET,PIT,O,Postponed,,,,C/1B/UTIL,
