,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
727,75739-12935,2B,Dee,Dee Strange-Gordon,Strange-Gordon,1.0333333015441897,6.0,2500,WSH@LAA,WSH,LAA,,,,,,2B/UTIL
728,75739-82571,3B,Colton,Colton Welker,Welker,3.284210606625205,19.0,2500,COL@ARI,COL,ARI,IL,Shoulder,,,0.0,3B/UTIL
729,75739-82659,3B,Carter,Carter Kieboom,Kieboom,7.331147741098873,61.0,2500,WSH@LAA,WSH,LAA,IL,Elbow,,,,3B/UTIL
730,75739-68478,2B/OF,Chad,Chad Pinder,Pinder,9.368749618530272,16.0,2500,OAK@MIN,OAK,MIN,,,,,5.0,2B/OF/UTIL
731,75739-101276,2B/3B,Jon,Jon Berti,Berti,9.4375,16.0,2500,MIA@SD,MIA,SD,,,,,,2B/3B/UTIL
734,75739-80838,1B,Luke,Luke Voit,Voit,7.1923076923076925,13.0,2500,MIA@SD,SD,MIA,IL,Biceps,,,,C/1B/UTIL
735,75739-68588,SS/2B,Gleyber,Gleyber Torres,Torres,6.817391437032948,23.0,2500,TEX@NYY,NYY,TEX,O,Postponed,,,,2B/SS/UTIL
736,75739-5181,C,Yadier,Yadier Molina,Molina,4.311764885397518,17.0,2500,STL@SF,STL,SF,,,,,,C/1B/UTIL
737,75739-13390,SS,Miguel,Miguel Rojas,Rojas,4.790909160267223,22.0,2500,MIA@SD,MIA,SD,,,,,,SS/UTIL
738,75739-81046,1B/OF,Garrett,Garrett Cooper,Cooper,7.526087221891983,23.0,2500,MIA@SD,MIA,SD,,,,,,C/1B/OF/UTIL
739,75739-13535,2B/SS/3B,Ehire,Ehire Adrianza,Adrianza,4.181512656332064,119.0,2500,WSH@LAA,WSH,LAA,IL,Quadriceps,,,,2B/3B/SS/UTIL
740,75739-79077,2B,Travis,Travis Demeritte,Demeritte,8.241666793823242,12.0,2500,MIL@ATL,ATL,MIL,DTD,Undisclosed,,,0.0,2B/UTIL
741,75739-79260,SS,Lucius,Lucius Fox,Fox,2.839999961853027,10.0,2500,WSH@LAA,WSH,LAA,,,,,,SS/UTIL
742,75739-101811,OF,Sam,Sam Hilliard,Hilliard,5.018750190734863,16.0,2500,COL@ARI,COL,ARI,,,,,8.0,OF/UTIL
743,75739-101827,3B/2B,Luis,Luis Arraez,Arraez,6.734782343325407,23.0,2500,OAK@MIN,MIN,OAK,IL,Illness,,,,2B/3B/UTIL
744,75739-5607,3B,Evan,Evan Longoria,Longoria,9.417442144349565,86.0,2500,STL@SF,SF,STL,IL,Finger,,,,3B/UTIL
745,75739-116339,3B/2B,Abraham,Abraham Toro,Toro,5.9391307001528535,23.0,2500,TB@SEA,SEA,TB,,,,,,2B/3B/UTIL
747,75739-163650,OF,Donovan,Donovan Casey,Casey,,,2500,WSH@LAA,WSH,LAA,,,,,,OF/UTIL
748,75739-79776,C,Dom,Dom Nunez,Nunez,4.433333502875434,9.0,2500,COL@ARI,COL,ARI,,,,,0.0,C/1B/UTIL
