Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Javian Hawkins (19546142),Javian Hawkins,19546142,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
TE,Kendall Blanton (19546143),Kendall Blanton,19546143,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
WR,J.J. Koski (19546144),J.J. Koski,19546144,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
WR,Landen Akers (19546145),Landen Akers,19546145,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
WR,Cade Johnson (19546146),Cade Johnson,19546146,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
WR,Aaron Fuller (19546147),Aaron Fuller,19546147,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
RB,Josh Johnson (19546148),Josh Johnson,19546148,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
WR,Cody Thompson (19546149),Cody Thompson,19546149,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
WR,Tutu Atwell (19546150),Tutu Atwell,19546150,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
WR,Ben Skowronek (19546151),Ben Skowronek,19546151,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
RB,Buddy Howell (19546152),Buddy Howell,19546152,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
TE,Brycen Hopkins (19546153),Brycen Hopkins,19546153,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
TE,Tyler Mabry (19546154),Tyler Mabry,19546154,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
TE,Colby Parkinson (19546155),Colby Parkinson,19546155,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
TE,Jacob Harris (19546156),Jacob Harris,19546156,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
RB,Rashaad Penny (19546157),Rashaad Penny,19546157,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0.8
RB,Raymond Calais (19546158),Raymond Calais,19546158,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
WR,John Ursua (19546159),John Ursua,19546159,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
RB,Cam Akers (19546160),Cam Akers,19546160,CPT,300,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
WR,Dee Eskridge (19546080),Dee Eskridge,19546080,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,3.8
WR,Penny Hart (19546081),Penny Hart,19546081,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0.42
RB,Jake Funk (19546082),Jake Funk,19546082,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,LAR,0.15
RB,Nick Bellore (19546083),Nick Bellore,19546083,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
TE,Tyler Ott (19546084),Tyler Ott,19546084,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
WR,Phillip Dorsett II (19546085),Phillip Dorsett II,19546085,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
TE,Ryan Izzo (19546086),Ryan Izzo,19546086,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
TE,Jace Sternberger (19546087),Jace Sternberger,19546087,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
RB,Javian Hawkins (19546088),Javian Hawkins,19546088,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
TE,Kendall Blanton (19546089),Kendall Blanton,19546089,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
WR,J.J. Koski (19546090),J.J. Koski,19546090,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
WR,Landen Akers (19546091),Landen Akers,19546091,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
WR,Cade Johnson (19546092),Cade Johnson,19546092,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
WR,Aaron Fuller (19546093),Aaron Fuller,19546093,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
RB,Josh Johnson (19546094),Josh Johnson,19546094,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
WR,Cody Thompson (19546095),Cody Thompson,19546095,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
WR,Tutu Atwell (19546096),Tutu Atwell,19546096,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
WR,Ben Skowronek (19546097),Ben Skowronek,19546097,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
RB,Buddy Howell (19546098),Buddy Howell,19546098,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
TE,Brycen Hopkins (19546099),Brycen Hopkins,19546099,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
TE,Tyler Mabry (19546100),Tyler Mabry,19546100,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
TE,Colby Parkinson (19546101),Colby Parkinson,19546101,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
TE,Jacob Harris (19546102),Jacob Harris,19546102,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
RB,Rashaad Penny (19546103),Rashaad Penny,19546103,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0.8
RB,Raymond Calais (19546104),Raymond Calais,19546104,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
WR,John Ursua (19546105),John Ursua,19546105,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,SEA,0
RB,Cam Akers (19546106),Cam Akers,19546106,FLEX,200,LAR@SEA 10/07/2021 08:20PM ET,LAR,0
