,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
583,WR,Anthony Ratliff-Williams (19394835),Anthony Ratliff-Williams,19394835,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SEA,0.0
584,WR,Travis Toivonen (19394837),Travis Toivonen,19394837,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SEA,0.0
585,WR,Tamorrion Terry (19394839),Tamorrion Terry,19394839,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SEA,0.0
586,WR,Connor Wedington (19394841),Connor Wedington,19394841,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SEA,0.0
587,WR,Richie James (19394843),Richie James,19394843,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SF,0.0
588,WR,Jalen Hurd (19394845),Jalen Hurd,19394845,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SF,0.0
589,WR,Travis Benjamin (19394847),Travis Benjamin,19394847,WR/FLEX,3000,SEA@SF 10/03/2021 04:05PM ET,SF,0.0
590,WR,Andy Isabella (19394793),Andy Isabella,19394793,WR/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,ARI,0.0
591,WR,Antoine Wesley (19394795),Antoine Wesley,19394795,WR/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,ARI,0.0
592,WR,Andre Baccellia (19394797),Andre Baccellia,19394797,WR/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,ARI,0.0
593,WR,Greg Dortch (19394799),Greg Dortch,19394799,WR/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,ARI,0.0
594,WR,Aleva Hifo (19394801),Aleva Hifo,19394801,WR/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,ARI,0.0
595,WR,A.J. Richardson (19394803),A.J. Richardson,19394803,WR/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,ARI,0.0
596,WR,Josh Doctson (19394805),Josh Doctson,19394805,WR/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,ARI,0.0
597,WR,Isaac Whitney (19394807),Isaac Whitney,19394807,WR/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,ARI,0.0
598,WR,Tutu Atwell (19394809),Tutu Atwell,19394809,WR/FLEX,3000,ARI@LAR 10/03/2021 04:05PM ET,LAR,0.0
