player_id,stat_id,name,team,pos,salary,schedule_id,home_moneyline,away_moneyline,home_total,away_total,opp,order,rpos,partner_id
1849789,0,"Bryce Perkins",LAR,QB,6000.00,80291,303,-387,20.25,28.25,NYG,,,60787
1849790,0,"Cam Akers",LAR,RB,4500.00,80291,303,-387,20.25,28.25,NYG,,,89230
1849791,0,"Xavier Jones",LAR,RB,4500.00,80291,303,-387,20.25,28.25,NYG,,,63201
1849808,0,"Salvon Ahmed",MIA,RB,6500.00,80285,109,-128,22.75,24.25,JAC,3B,RB,86780
1849812,0,"Chris Finke",KCC,WR,4500.00,80287,243,-301,23.75,30.25,WAS,,,64828
1849838,0,"Freddie Swain",SEA,WR,5200.00,80297,-223,185,23.75,18.75,PIT,7B,WR,69303
1849840,0,"Anthony Gordon",KCC,QB,6000.00,80287,243,-301,23.75,30.25,WAS,,,71798
1849841,0,"Tyler Mabry",SEA,TE,4000.00,80297,-223,185,23.75,18.75,PIT,13B,TE,63839
1849842,0,"Dominick Wood-Anderson",SEA,TE,4000.00,80297,-223,185,23.75,18.75,PIT,,,87422
1849843,0,"DeeJay Dallas",SEA,RB,4900.00,80297,-223,185,23.75,18.75,PIT,3B,RB,94087
1849844,0,"Stephen Sullivan",CAR,WR,4500.00,80289,117,-139,21.25,23.75,MIN,,,69655
1849846,0,"Colby Parkinson",SEA,TE,4100.00,80297,-223,185,23.75,18.75,PIT,12B,TE,89588
2184520,0,"Tyler Huntley",BAL,QB,6100.00,80293,-147,124,26.75,23.75,LAC,,,70051
2184715,0,"Jake Bargas",MIN,TE,4000.00,80289,117,-139,21.25,23.75,CAR,,,60984
2184716,0,"Dan Chisena",MIN,WR,4500.00,80289,117,-139,21.25,23.75,CAR,9B,WR,64405
2184799,0,"Paul Quessenberry",HOU,TE,4000.00,80290,-461,355,26.75,16.75,IND,,,46644
2184800,0,"Andre Baccellia",ARI,WR,4500.00,80298,-162,137,25.75,22.75,CLE,,,60838
2184893,0,"Dominique Dafney",GBP,TE,4000.00,80296,191,-236,19.25,25.25,CHI,,,86178
2184924,0,"Nathan Cottrell",JAC,RB,4500.00,80285,109,-128,22.75,24.25,MIA,,,63025
2184953,0,"Nick Westbrook-Ikhine",TEN,WR,5200.00,80295,199,-243,23.75,29.25,BUF,7B,WR,64389
2185008,0,"Tavien Feaster",ARI,RB,4500.00,80298,-162,137,25.75,22.75,CLE,,,70019
2185009,0,"Sandro Platzgummer",NYG,RB,4500.00,80291,303,-387,20.25,28.25,LAR,,,130336
2185208,0,"Cody White",PIT,WR,4500.00,80297,-223,185,23.75,18.75,SEA,10B,WR,92890
2185236,0,"Kalija Lipscomb",TEN,WR,4500.00,80295,199,-243,23.75,29.25,BUF,,,71280
2185237,0,"Maurice Ffrench",LAC,WR,4500.00,80293,-147,124,26.75,23.75,BAL,,,71477
2185264,0,"Nick Bowers",LVR,TE,4000.00,80288,-199,167,24,20,DEN,13B,TE,64408
2185291,0,"Darius Bradwell",LAC,QB,6000.00,80293,-147,124,26.75,23.75,BAL,,,69769
2185292,0,"Jeff Cotton",JAC,WR,5000.00,80285,109,-128,22.75,24.25,MIA,,,130343
2185293,0,"Gabe Nabers",LAC,RB,4500.00,80293,-147,124,26.75,23.75,BAL,,,72382
2185294,0,"Dalton Schoen",WAS,WR,4500.00,80287,243,-301,23.75,30.25,KCC,,,63554
2185400,0,"Aaron Fuller",SEA,WR,4500.00,80297,-223,185,23.75,18.75,PIT,,,71756
2205639,0,"Dominik Eberle",CAR,K,5000.00,80289,117,-139,21.25,23.75,MIN,,,65493
2216284,0,"Jamal Agnew",JAC,WR,6500.00,80285,109,-128,22.75,24.25,MIA,7B,WR,79979
2291848,0,"Pete Guerriero",PIT,RB,4500.00,80297,-223,185,23.75,18.75,SEA,,,139438
2451492,0,"Connor Davis",CLE,TE,4000.00,80298,-162,137,25.75,22.75,ARI,,,138552
2595531,0,"Chris Blair",GBP,WR,4500.00,80296,191,-236,19.25,25.25,CHI,,,147168
2612547,0,"Hunter Thedford",DET,TE,4000.00,80286,159,-190,21.5,25,CIN,,,63189
2783361,0,"Darius Clark",CAR,RB,4500.00,80289,117,-139,21.25,23.75,MIN,,,147899
2801804,0,"Kai Locksley",MIA,WR,4500.00,80285,109,-128,22.75,24.25,JAC,,,64718
2814574,0,"Mathew Sexton",PIT,WR,4500.00,80297,-223,185,23.75,18.75,SEA,,,69056
2815052,0,"Micah Simon",CAR,WR,4500.00,80289,117,-139,21.25,23.75,MIN,,,64973
