,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
19,65396-58460,SG,Devin,Devin Booker,Booker,36.8,89.0,8100,DEN@PHO,PHO,DEN,,,,,,SG
20,65396-40203,C,Rudy,Rudy Gobert,Gobert,39.1,83.0,8000,OKC@UTA,UTA,OKC,,,,,,C
21,65396-9623,PG,Chris,Chris Paul,Paul,37.5,91.0,8000,DEN@PHO,PHO,DEN,,,,,,PG
22,65396-67026,SF/SG,Jaylen,Jaylen Brown,Brown,32.6,59.0,8000,BOS@NY,BOS,NY,,,,,,SG/SF
23,65396-19067,SG,CJ,CJ McCollum,McCollum,,53.0,8000,SAC@POR,POR,SAC,,,,,,SG
24,65396-84667,SG/PG,Collin,Collin Sexton,Sexton,34.9,60.0,7900,CLE@MEM,CLE,MEM,,,,,,PG/SG
25,65396-66115,PG,Ben,Ben Simmons,Simmons,0.0,70.0,7800,PHI@NO,PHI,NO,O,Suspension,,,,PG
26,65396-84673,C,Deandre,Deandre Ayton,Ayton,33.6,91.0,7800,DEN@PHO,PHO,DEN,,,,,,C
27,65396-67708,PG/SG,Dejounte,Dejounte Murray,Murray,38.0,68.0,7700,ORL@SA,SA,ORL,,,,,,PG/SG
28,65396-145485,PG,LaMelo,LaMelo Ball,Ball,41.1,52.0,7600,IND@CHA,CHA,IND,,,,,,PG
29,65396-84680,SG/PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,38.0,35.0,7600,OKC@UTA,OKC,UTA,,,,,,PG/SG
30,65396-145321,SF/SG,Anthony,Anthony Edwards,Edwards,35.7,72.0,7600,HOU@MIN,MIN,HOU,,,,,,SG/SF
31,65396-9575,PG,Mike,Mike Conley,Conley,30.2,58.0,7500,OKC@UTA,UTA,OKC,,,,,,PG
32,65396-9714,SG/SF,DeMar,DeMar DeRozan,DeRozan,34.6,62.0,7500,CHI@DET,CHI,DET,,,,,,SG/SF
33,65396-55057,C,Jusuf,Jusuf Nurkic,Nurkic,36.2,43.0,7500,SAC@POR,POR,SAC,,,,,,C
34,65396-58312,SG/PG,D'Angelo,D'Angelo Russell,Russell,38.7,42.0,7500,HOU@MIN,MIN,HOU,,,,,,PG/SG
35,65396-68090,SG/SF,OG,OG Anunoby,Anunoby,34.1,43.0,7400,WAS@TOR,TOR,WAS,,,,,,SG/SF
36,65396-16359,PG/SG,Malcolm,Malcolm Brogdon,Brogdon,36.3,58.0,7300,IND@CHA,IND,CHA,GTD,Shoulder,,,,PG/SG
37,65396-14518,PF/SF,Tobias,Tobias Harris,Harris,38.2,74.0,7200,PHI@NO,PHI,NO,,,,,,SF/PF
38,65396-23831,PF,Jerami,Jerami Grant,Grant,33.1,54.0,7200,CHI@DET,DET,CHI,,,,,,PF
39,65396-42677,SG/PG,Terry,Terry Rozier,Rozier,,70.0,7200,IND@CHA,CHA,IND,GTD,Ankle,,,,PG/SG
40,65396-12366,SF/SG,Gordon,Gordon Hayward,Hayward,34.1,44.0,7000,IND@CHA,CHA,IND,,,,,,SG/SF
41,65396-84683,PF/C,Jaren,Jaren Jackson,Jackson,33.1,18.0,7000,CLE@MEM,MEM,CLE,,,,,,PF/C
42,65396-84682,PF/SF,Michael,Michael Porter,Porter,35.4,71.0,7000,DEN@PHO,DEN,PHO,,,,,,SF/PF
43,65396-80806,PG,Lonzo,Lonzo Ball,Ball,31.5,55.0,7000,CHI@DET,CHI,DET,,,,,,PG
44,65396-80821,C/PF,Jarrett,Jarrett Allen,Allen,28.4,63.0,6900,CLE@MEM,CLE,MEM,,,,,,PF/C
45,65396-110342,PG/SG,Darius,Darius Garland,Garland,31.1,54.0,6800,CLE@MEM,CLE,MEM,,,,,,PG/SG
