,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position
165,68149-110336,PF,Chuma,Chuma Okeke,Okeke,20.0,18.0,4200,ORL@GS,ORL,GS,,,,,,PF
166,68149-110343,SF,Nassir,Nassir Little,Little,17.8,21.0,4200,LAC@POR,POR,LAC,GTD,Ankle,,,,SF
167,68149-145336,PF,Xavier,Xavier Tillman,Tillman,19.5,16.0,4200,MEM@MIA,MEM,MIA,,,,,,PF
169,68149-15405,PF/C,JaMychal,JaMychal Green,Green,18.2,21.0,4100,DEN@CHI,DEN,CHI,,,,,,PF/C
170,68149-145539,SF/PF,Deni,Deni Avdija,Avdija,16.8,24.0,4100,WAS@IND,WAS,IND,,,,,,SF/PF
171,68149-58576,C/PF,Kevon,Kevon Looney,Looney,16.0,23.0,4100,ORL@GS,GS,ORL,,,,,,PF/C
172,68149-110316,SF,Cameron,Cameron Johnson,Johnson,17.9,23.0,4100,SA@PHO,PHO,SA,,,,,,SF
175,68149-85305,SF,Kenrich,Kenrich Williams,Williams,16.0,19.0,4100,OKC@DET,OKC,DET,,,,,,SF
176,68149-23407,PF/C,P.J.,P.J. Tucker,Tucker,18.6,24.0,4100,MEM@MIA,MIA,MEM,,,,,,PF/C
190,68149-15727,SG/PG,Ben,Ben McLemore,McLemore,16.4,9.0,4000,LAC@POR,POR,LAC,,,,,,PG/SG
191,68149-40830,PG/SG,Delon,Delon Wright,Wright,17.2,22.0,4000,ATL@MIN,ATL,MIN,,,,,,PG/SG
194,68149-145319,PF,Jaden,Jaden McDaniels,McDaniels,17.2,20.0,4000,ATL@MIN,MIN,ATL,GTD,Illness,,,,PF
205,68149-80824,PG,Frank,Frank Jackson,Jackson,19.6,22.0,3900,OKC@DET,DET,OKC,,,,,,PG
208,68149-117283,SF,Oshae,Oshae Brissett,Brissett,16.6,14.0,3800,WAS@IND,IND,WAS,,,,,,SF
210,68149-157849,SG,Ayo,Ayo Dosunmu,Dosunmu,22.2,23.0,3800,DEN@CHI,CHI,DEN,,,,,,SG
213,68149-84724,SG,Landry,Landry Shamet,Shamet,19.9,22.0,3800,SA@PHO,PHO,SA,,,,,,SG
223,68149-70825,SF/SG,Timothe,Timothe Luwawu-Cabarrot,Luwawu-Cabarrot,17.0,17.0,3700,ATL@MIN,ATL,MIN,,,,,,SG/SF
228,68149-145310,PG,Saben,Saben Lee,Lee,18.7,8.0,3700,OKC@DET,DET,OKC,,,,,,PG
233,68149-9666,PF,Thaddeus,Thaddeus Young,Young,20.9,18.0,3700,SA@PHO,SA,PHO,,,,,,PF
