Player,FP,Salary,Value,C/A,Yds,TDs,Ints,Att,Yds,TDs,Rec,Yds,TDs,TGTS
"Taysom Hill ",3.0,"$7,000",0.42,"0.00 / 0.00",0.00,0.00,0.00,1.71,7.80,0.10,1.19,9.30,0.04,1.90
"Damien Williams GTD",3.0,"$5,000",0.59,"0.00 / 0.00",0.00,0.00,0.00,2.38,9.55,0.09,0.94,7.23,0.05,1.23
"Zay Jones ",2.8,"$4,900",0.56,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,1.17,15.37,0.11,2.22
"Jimmy Graham ",2.7,"$4,400",0.61,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,1.27,13.68,0.12,1.99
"Isaiah McKenzie ",2.3,"$4,600",0.5,"0.00 / 0.00",0.00,0.00,0.00,0.92,5.08,0.05,0.79,8.34,0.06,1.29
"Dwayne Washington ",2.1,"$4,700",0.45,"0.00 / 0.00",0.00,0.00,0.00,2.28,8.63,0.06,0.58,4.99,0.02,0.95
"Godwin Igwebuike ",1.9,"$4,700",0.4,"0.00 / 0.00",0.00,0.00,0.00,0.78,3.02,0.02,1.00,7.94,0.03,1.39
"Ty Montgomery ",1.9,"$4,700",0.39,"0.00 / 0.00",0.00,0.00,0.00,1.14,4.65,0.03,0.76,6.68,0.03,1.27
"Lamar Miller ",1.8,"$4,500",0.41,"0.00 / 0.00",0.00,0.00,0.00,1.42,5.82,0.03,0.69,5.72,0.03,1.11
"Brock Wright ",1.8,"$4,300",0.42,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.93,9.36,0.07,1.39
"Lil'Jordan Humphrey ",1.8,"$4,700",0.38,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.81,10.24,0.06,1.58
"Peyton Barber ",1.7,"$4,800",0.36,"0.00 / 0.00",0.00,0.00,0.00,1.86,6.94,0.05,0.53,3.81,0.02,0.74
"Tommy Sweeney ",1.5,"$4,200",0.35,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.72,6.88,0.07,1.11
"Jalen Richard ",1.1,"$4,700",0.24,"0.00 / 0.00",0.00,0.00,0.00,0.46,1.98,0.01,0.55,4.93,0.02,0.74
"Alec Ingold GTD",1.1,"$4,500",0.24,"0.00 / 0.00",0.00,0.00,0.00,0.46,1.79,0.01,0.54,4.54,0.02,0.74
"Jermar Jefferson ",1.1,"$4,900",0.22,"0.00 / 0.00",0.00,0.00,0.00,0.52,2.00,0.02,0.50,3.92,0.02,0.70
"Sean McKeon ",1.1,"$4,300",0.25,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.51,5.26,0.05,0.71
"Reggie Gilliam ",1.0,"$4,100",0.24,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,0.48,4.60,0.05,0.74
