Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
69815-157826,SG,Quentin,Quentin Grimes,Grimes,8.825,20,4600,BOS@NY,NY,BOS,,,,,,SG
69815-80809,SG,Josh,Josh Jackson,Jackson,15.1814812554253,27,4600,DET@MEM,DET,MEM,,,,,,SG
69815-23825,C,Nerlens,Nerlens Noel,Noel,18.3999992819393,17,4500,BOS@NY,NY,BOS,GTD,Covid-19,,,,C
69815-111376,SG,John,John Konchar,Konchar,13.7939397638494,33,4400,DET@MEM,MEM,DET,O,Covid-19,,,,SG
69815-16448,PF/C,Frank,Frank Kaminsky,Kaminsky,22.6333329942491,9,4400,LAC@PHO,PHO,LAC,O,Knee,,,,PF/C
69815-145310,PG,Saben,Saben Lee,Lee,15.9941172880285,17,4400,DET@MEM,DET,MEM,,,,,,PG
69815-23716,SF/PF,Kyle,Kyle Anderson,Anderson,21.8878784179687,33,4400,DET@MEM,MEM,DET,GTD,Covid-19,,,,SF/PF
69815-110318,PF,Grant,Grant Williams,Williams,15.6060606060606,33,4400,BOS@NY,BOS,NY,,,,,,PF
69815-110356,SG/SF,Nickeil,Nickeil Alexander-Walker,Alexander-Walker,24,35,4200,GS@NO,NO,GS,,,,,,SG/SF
69815-157805,SG,Brandon,Brandon Boston,Boston,11.3952382405599,21,4200,LAC@PHO,LAC,PHO,GTD,Covid-19,,,,SG
69815-63127,PF/C,Willy,Willy Hernangomez,Hernangomez,18.4260864257812,23,4200,GS@NO,NO,GS,,,,,,PF/C
69815-18376,SG,Damion,Damion Lee,Lee,14.3296294035735,27,4200,GS@NO,GS,NO,,,,,,SG
69815-9957,PF/C,Serge,Serge Ibaka,Ibaka,13.9105256733141,19,4200,LAC@PHO,LAC,PHO,,,,,,PF/C
69815-15800,PF/SF,Jae,Jae Crowder,Crowder,20.9249992370605,32,4100,LAC@PHO,PHO,LAC,O,Covid-19,,,,SF/PF
69815-14529,PG,Cory,Cory Joseph,Joseph,16.3518518518519,27,4100,DET@MEM,DET,MEM,O,Covid-19,,,,PG
69815-145489,PG,Killian,Killian Hayes,Hayes,19.1115382267879,26,4000,DET@MEM,DET,MEM,,,,,,PG
69815-163983,SG,Xavier,Xavier Moon,Moon,14.6999998092651,4,4000,LAC@PHO,LAC,PHO,O,Covid-19,,,,SG
69815-9664,SF/SG,Andre,Andre Iguodala,Iguodala,18.4444444444444,18,4000,GS@NO,GS,NO,,,,,,SG/SF
69815-145347,C,James,James Wiseman,Wiseman,21.5179490309495,39,4000,GS@NO,GS,NO,O,Knee,,,,C
69815-23097,PG,Tomas,Tomas Satoransky,Satoransky,9.42258084204889,31,3900,GS@NO,NO,GS,O,Covid-19,,,,PG
69815-19138,PG,Elfrid,Elfrid Payton,Payton,9.89499969482422,20,3900,LAC@PHO,PHO,LAC,,,,,,PG
69815-117779,SF/PF,Juan,Juan Toscano-Anderson,Toscano-Anderson,13.9500003390842,36,3800,GS@NO,GS,NO,O,Ankle,,,,SF/PF
69815-157824,PG,Miles,Miles McBride,McBride,7.57857131958008,14,3800,BOS@NY,NY,BOS,,,,,,PG
69815-157843,SF,Ziaire,Ziaire Williams,Williams,9.13000030517578,20,3800,DET@MEM,MEM,DET,,,,,,SF
69815-110334,SF/PF,Justin,Justin James,James,6.27777777777778,36,3800,GS@NO,NO,GS,,,,,,SF/PF
69815-117307,SF,DaQuan,DaQuan Jeffries,Jeffries,0,1,3700,DET@MEM,MEM,DET,,,,,,SF
69815-12368,PF,Nemanja,Nemanja Bjelica,Bjelica,15.2972972972973,37,3700,GS@NO,GS,NO,,,,,,PF
69815-157804,SG,Keon,Keon Johnson,Johnson,8.63333320617676,12,3700,LAC@PHO,LAC,PHO,,,,,,SG
69815-145342,SG,Cassius,Cassius Stanley,Stanley,19,3,3700,DET@MEM,DET,MEM,,,,,,SG
69815-84674,SF/PF,Kevin,Kevin Knox,Knox,8.05,10,3700,BOS@NY,NY,BOS,,,,,,SF/PF
69815-145632,PF,Killian,Killian Tillie,Tillie,9.82500012715658,24,3700,DET@MEM,MEM,DET,,,,,,PF
69815-84724,SG,Landry,Landry Shamet,Shamet,13.9085710797991,35,3700,LAC@PHO,PHO,LAC,O,Covid-19,,,,SG
69815-9809,SF/PF,Nicolas,Nicolas Batum,Batum,20.4736842105263,19,3600,LAC@PHO,LAC,PHO,,,,,,SF/PF
69815-17491,SF,James,James Ennis,Ennis,12,4,3600,LAC@PHO,LAC,PHO,,,,,,SF
69815-145336,PF,Xavier,Xavier Tillman,Tillman,15.0965513032058,29,3600,DET@MEM,MEM,DET,O,Covid-19,,,,PF
69815-23740,PG/SG,Ryan,Ryan Arcidiacono,Arcidiacono,7.2136362249201,44,3600,BOS@NY,NY,BOS,,,,,,PG/SG
69815-101331,PF,Gary,Gary Clark,Clark,7.85714285714286,7,3600,GS@NO,NO,GS,,,,,,PF
69815-96775,PF,Norvel,Norvel Pelle,Pelle,5.6000002347506,13,3500,BOS@NY,BOS,NY,,,,,,PF
69815-111371,PG,Justin,Justin Robinson,Robinson,6.52916653951009,24,3500,DET@MEM,DET,MEM,,,,,,PG
69815-110348,SG,Quinndary,Quinndary Weatherspoon,Weatherspoon,4.73333326975505,3,3500,GS@NO,GS,NO,,,,,,SG
69815-19726,SF,Abdel,Abdel Nader,Nader,7.27857153756278,14,3500,LAC@PHO,PHO,LAC,O,Covid-19,,,,SF
69815-55056,PF,Dario,Dario Saric,Saric,14.6328125,64,3500,LAC@PHO,PHO,LAC,O,Knee,,,,PF
69815-161552,PF,Micah,Micah Potter,Potter,9.26666641235352,3,3500,DET@MEM,DET,MEM,,,,,,PF
69815-58134,SF,Justin,Justin Jackson,Jackson,1.70000004768372,2,3500,LAC@PHO,PHO,LAC,,,,,,SF
69815-117782,SF,Daulton,Daulton Hommes,Hommes,,,3500,GS@NO,NO,GS,O,Lower leg,,,,SF
69815-158243,SF,Ish,Ish Wainright,Wainright,4.59285736083984,14,3500,LAC@PHO,PHO,LAC,,,,,,SF
69815-117292,PG,Matt,Matt Mooney,Mooney,2,1,3500,BOS@NY,NY,BOS,,,,,,PG
69815-110638,SF,Deividas,Deividas Sirvydis,Sirvydis,7.90000025431315,3,3500,DET@MEM,DET,MEM,,,,,,SF
69815-110641,SG,Didi,Didi Louzada,Louzada,1.95000004768372,2,3500,GS@NO,NO,GS,O,Suspension,,,,SG
69815-110640,PF,Luka,Luka Samanic,Samanic,7.70000018495502,33,3500,BOS@NY,NY,BOS,GTD,Foot,,,,PF
69815-117300,SG,Dakota,Dakota Mathias,Mathias,0,2,3500,DET@MEM,MEM,DET,,,,,,SG
69815-12342,SF/PF,Al-Farouq,Al-Farouq Aminu,Aminu,14.6304347826087,23,3500,BOS@NY,BOS,NY,,,,,,SF/PF
69815-42550,PF,Jabari,Jabari Parker,Parker,8.54999987284342,12,3500,BOS@NY,BOS,NY,,,,,,PF
69815-117819,PG/SG,Jared,Jared Harper,Harper,7.34999990463257,2,3500,GS@NO,NO,GS,,,,,,PG/SG
69815-145737,SG,Brodric,Brodric Thomas,Thomas,2.26000003814697,5,3500,BOS@NY,BOS,NY,O,Back,,,,SG
