"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Ke'Shawn Vaughn","TB","1.0","4.0","0.0","0.1","2.0","0.0","0.0","0.6"
"Cullen Gillaspia","NYG","1.3","3.2","0.0","0.4","2.0","0.0","0.0","0.5"
"Reggie Gilliam","BUF","1.1","3.0","0.0","0.5","2.4","0.0","0.0","0.5"
"Trayveon Williams","CIN","1.5","4.0","0.0","0.6","1.2","0.0","0.0","0.5"
"Giovanni Ricci","CAR","0.0","0.0","0.0","0.5","5.0","0.0","0.0","0.5"
"Taiwan Jones","BUF","0.6","1.6","0.0","0.2","2.6","0.0","0.0","0.5"
"Jakob Johnson","NE","0.5","1.2","0.0","0.4","1.8","0.0","0.0","0.5"
"Gabe Nabers","LAC","1.2","2.7","0.0","0.4","1.5","0.0","0.0","0.4"
"Kene Nwangwu","MIN","0.8","3.6","0.0","0.1","0.6","0.0","0.0","0.4"
"Derek Watt","PIT","1.0","2.1","0.0","0.4","1.5","0.0","0.0","0.4"
"Damarea Crockett","DEN","0.9","3.0","0.0","0.1","1.0","0.0","0.0","0.4"
"Khari Blasingame","TEN","0.4","1.0","0.0","0.3","2.0","0.0","0.0","0.3"
"Godwin Igwebuike","DET","0.6","2.0","0.0","0.1","1.0","0.0","0.0","0.3"
"Nick Bellore","SEA","0.5","1.0","0.0","0.1","1.1","0.0","0.0","0.2"
"Johnny Stanton","CLE","0.2","0.8","0.0","0.1","0.8","0.0","0.0","0.2"
""
""
